       id  redshift  xray_boxcar_2to7keV  xray_boxcar_2to7keV_err  cfht.megacam.u      cfht.megacam.u_err  cfht.megacam.g      cfht.megacam.g_err  cfht.megacam.r      cfht.megacam.r_err  cfht.megacam.inew   cfht.megacam.inew_err  cfht.megacam.z      cfht.megacam.z_err   WFCAM_Y             WFCAM_Y_err   WFCAM_J            WFCAM_J_err   WFCAM_K            WFCAM_K_err       N2                N2_err      N3                 N3_err      N4                N4_err      S7                 S7_err     S9W               S9W_err     S11               S11_err     L15               L15_err    L18W              L18W_err    L24              L24_err  PACS_green      PACS_green_err  PACS_red        PACS_red_err 
 61012265       0.5            2.274e-06   4.0654613514335615e-07        0.001636   0.0002507288575333921        0.006332   0.0009103066735996171         0.02015   0.0028744956079284592            0.03255    0.004642318924847797         0.05487    0.007890251516903628   0.06569    0.009842797417401213   0.09674    0.01449918190795605    0.1864   0.027930084138791993     0.19  0.027731570456791664   0.198   0.028862432329933668   0.173   0.02547508586835381   0.203   0.029861346252304164    0.34   0.04901112118693062   0.458   0.06699888058766355   0.488   0.07270935290593639   0.626   0.09563498313901667   1.01     0.15684705926475       6.114  1.1079647828338228       nan                 nan 
 61013219       1.1            2.411e-06    2.844823544615729e-07        0.001576  0.00023624935978749234        0.002155   0.0003101116734339422        0.002271  0.00033479905913846294           0.003285   0.0004836706007191258        0.005387   0.0008651743697082109  0.008985    0.001572069416406286   0.01878  0.0032889031606296954   0.03361   0.005576631689469908   0.0624  0.010027965895434627   0.072   0.010785216734029966  0.0976  0.014631049176323617  0.0765   0.012991247053304775   0.101  0.016462381358722075   0.102   0.01965400722499104   0.189  0.033781799833638236   0.266   0.04396089171070123  0.462  0.08859909706086175       3.722   0.922425520028582       nan                 nan 
 61013372       0.4            4.184e-07   1.1675438150236589e-07       0.0001777  5.0434243327326724e-05       0.0005991  0.00010179635602515445        0.001543   0.0002478799911247376           0.002336  0.00037472384498454326        0.004606   0.0008321065797119982  0.007071   0.0013928353851047869   0.01041   0.002053431518215302   0.02435   0.004045012360920545   0.0344  0.007116635440993167  0.0477   0.007356147089339636  0.0665  0.010174109297624042  0.0711   0.012351603134816144  0.0657  0.013856583272942865  0.0833   0.01759655932277671   0.134   0.05787270513808734   0.218  0.038061529133759195    nan                  nan         nan                 nan       nan                 nan 
 61013486       1.8            5.886e-07   1.1586431547288404e-07        0.004805    0.000719844601285583        0.007826   0.0011162789794670507        0.007117    0.001023104046517264           0.008719   0.0012537984726422346        0.009713   0.0014303578887816853  0.007754    0.001354010768051717  0.008426  0.0015660059897714311   0.01314   0.002301889658519713  0.00965  0.004543657667562556  0.0208   0.003716557546978117  0.0299  0.005655095047830761  0.0486   0.013132387444787029  0.0831  0.014269411340346174  0.0963  0.019018330631262043   0.148   0.03264735823922052   0.249   0.04182068866004002  0.334   0.1023056694421184         nan                 nan       nan                 nan 
 61013506       0.4            5.102e-07   1.2125609427983404e-07        0.001844   0.0002824878050465188        0.007007   0.0009989617059727564         0.01907     0.00272033986847232            0.02835   0.0040412405273628545         0.04124    0.005929163178729355   0.04672    0.007005425326131169    0.0567   0.008685925396870504    0.1093   0.016380015262508152    0.161   0.02355949914577982   0.225    0.03282468583246457   0.264  0.038775249838008785   0.356   0.053249600937471823   0.437   0.06344832543101513   0.478   0.07004484277946522   0.585   0.11327510759209192   0.713   0.10406406680502162  0.863  0.13746523196794164         nan                 nan       nan                 nan 
 61013521       1.2            2.336e-07    8.430118385882846e-08        0.001252  0.00019157254500580192        0.002278   0.0003272886188060929         0.00421   0.0006053643530965463           0.006863   0.0009867566518650887         0.01627   0.0023968164301840056   0.01809    0.002871477145999947   0.02764   0.004389509767616425   0.05278   0.008089139880110865   0.0941  0.014025266485881828   0.135    0.02032953516438583   0.121   0.02127580785775243  0.0792   0.013635849808501119  0.0795   0.01381638520018894   0.106   0.02210701246211256   0.578   0.08498311597017374   0.671   0.09827334328290659  0.485  0.10435521069884339         nan                 nan       nan                 nan 
 61013979       1.4             1.04e-06   1.6031219541881396e-07       0.0002869   5.319921146032147e-05        0.000503   8.077332480466555e-05       0.0007249  0.00011642169084839818           0.001434  0.00023013813243354523        0.003762   0.0006385784525021181   0.00639   0.0011850421933416548  0.007073  0.0013929369296561852   0.01454  0.0025460196385731202   0.0202  0.003972002014098181   0.029   0.004788120716941042  0.0396  0.006409617773315349  0.0419   0.011677589648553335   0.056  0.011113955191559844  0.0956   0.01898298185217486   0.167  0.031238597919881105   0.221  0.041055693880386435  0.259  0.07679908853625804         nan                 nan       nan                 nan 
 61014379       1.6            1.669e-07    6.044969892398141e-08       0.0005466   9.071645716186231e-05        0.001287   0.0001894325473618512        0.001997   0.0002941701718393624           0.002682   0.0004099161377647872        0.006129   0.0009841475549936605   0.01287   0.0022536346198973782   0.02237   0.003710224925796279   0.04726   0.007243975151807191   0.0623  0.009559048069760922  0.0859   0.012763295029105925  0.0915  0.014774386620093572  0.0494    0.01751124210328896  0.0491   0.03702699150619721  0.0538  0.014625470932588803   0.183  0.033032408328791285   0.146   0.06000333324074589  0.215  0.13966477723463422         nan                 nan       nan                 nan 
 61014462       1.2            5.945e-07   1.4113221637882684e-07             nan                     nan       0.0002175   5.088283109261905e-05       0.0006734  0.00013847626366998787           0.001805    0.000290015947837356        0.004163   0.0007517856675941622   0.00866    0.001603887776622791   0.01728  0.0030226451991591735   0.04078   0.006467649031912601   0.0611  0.011085783689031643  0.0954   0.014112816869781879   0.091   0.01366930868771351  0.0462   0.018486600552832855  0.0884  0.019161043812903306   0.146  0.033994852551526095    0.25   0.04922154000028849   0.272   0.06917224877073175    nan                  nan         nan                 nan       nan                 nan 
 61014887       1.5            5.023e-07   1.3286102852228717e-07          0.0136     0.00202474689776278          0.0162    0.002312336480705176         0.01739    0.002481334519971058            0.01692   0.0024127295745690193         0.01938   0.0027849315970055713   0.02278    0.003486959133686542   0.02078  0.0032972236806137374   0.03122   0.004780301664121209   0.0376  0.010142682091044755  0.0672   0.010640531001787459  0.0943  0.014112933784298714   0.172   0.025628889948649747   0.189  0.028178360491696457   0.246   0.03802841043220187   0.213   0.03662963281279243   0.588   0.08683691611290673   0.74   0.2616811036357039         nan                 nan       nan                 nan 
 61014902       1.1            9.203e-07    1.457344190642691e-07       0.0003449   7.234998341395802e-05       0.0005566   8.935348678143456e-05       0.0007875   0.0001264229903933616           0.002111  0.00033880408793283474        0.004124   0.0007446299483636151  0.006691   0.0013218527943761361   0.01174  0.0024672202982303788   0.02325  0.0038590186576382343   0.0355  0.005898016615778562   0.056   0.008519178364138177  0.0615  0.009461426953689386  0.0559    0.01056924784457248  0.0874   0.01625046460874273   0.124   0.03478519800144884   0.442   0.06643643578639662   0.431   0.08780580846390516  0.848  0.19536386564562036       7.405  1.2848502831069464     15.31   2.639405425469911 
 61015167       1.3             3.48e-07     8.15933820845784e-08        0.001275  0.00019534648704289513        0.002615   0.0003758753117724015        0.003375  0.00048549691039181703           0.004135    0.000608926309170494        0.008229   0.0013183567081787844  0.009943    0.001741703904227122   0.01533  0.0025438138689770524   0.02848   0.004520088937178117      nan                   nan  0.0563    0.00864468044522179  0.0622  0.009560125522188503  0.0426   0.011516839844332298  0.0372  0.009214298671087235  0.0483  0.018443668290229035  0.0883  0.029645554472804182    0.14  0.029178073959739016    nan                  nan         nan                 nan       nan                 nan 
 61015304       1.3            1.718e-06   2.4523507090137006e-07        0.001966   0.0003010574031642471        0.002615   0.0003758753117724015         0.00305   0.0004493606569338264           0.003255   0.0004980755464786442        0.006477    0.001099925583846471  0.006331   0.0014101119139983181   0.01411  0.0024722097402930846   0.01639   0.003227184686379135   0.0284  0.004979327263797791  0.0623    0.00940826232627471   0.126  0.018686893802876924   0.386    0.05537192429381518   0.568   0.08276641831081008   0.773   0.11160439059463566    1.06   0.15348289807011073    1.29   0.18744865963777924   1.51  0.22440365415919594        3.25  0.9137510601909034     12.98   2.702166538168956 
 61016527       0.2            9.981e-07   1.5608342673070707e-07         0.00193  0.00029567718883945037        0.005722      0.0008226140285699        0.008959   0.0012884536506991627            0.01118   0.0016110630031131619         0.01457    0.002149243820509902   0.02136   0.0032730560642922086   0.02521   0.004003441144815295   0.03967   0.006081873806648737   0.0619  0.009502641737958978  0.0767   0.011448969385931644  0.0965  0.014483179899455783   0.108    0.01721046193453273   0.115  0.022380571931923453   0.129   0.02296540877058364   0.167  0.031238597919881105   0.182   0.04376391207376233  0.266  0.06866185258205607         nan                 nan       nan                 nan 
 61016941       0.3            4.263e-07   1.2170997042149013e-07        0.001913   0.0003037954739623354        0.007898     0.00112631835641616         0.02091   0.0029848251205053873            0.02914    0.004153672591815585         0.04913    0.007067104711266136   0.06047    0.009062489117234845   0.08196    0.01228401058286747    0.1579   0.023644959293684566      nan                   nan     nan                    nan     nan                   nan   0.268    0.03890347028222547   0.494   0.07057279929264533   0.637     0.091942264492452   0.637   0.09310263154175612   0.884   0.12860062208247675   1.12  0.22922478051031045        12.3  1.9553260597659923       nan                 nan 
 61017156       1.2            5.013e-07   1.2179497896054665e-07             nan                     nan       0.0004672   8.997982218253157e-05       0.0009296  0.00016805225853882476           0.002707   0.0004346015301399663        0.007436    0.001193858015008485  0.008902   0.0016506229248377717   0.01207  0.0022425318280907412   0.02347  0.0038962172680691207   0.0708  0.010743034952935786   0.106   0.015640012787718555   0.103  0.015363918770938617  0.0857    0.02277399613594417     nan                   nan     nan                   nan   0.127   0.03442804089692005     nan                   nan    nan                  nan         nan                 nan       nan                 nan 
