id	redshift	xray_boxcar_2to10keV	xray_boxcar_0p5to2keV	galex.FUV	galex.FUV_err	galex.NUV	galex.NUV_err	u_prime	u_prime_err	g_prime	g_prime_err	r_prime	r_prime_err	i_prime	i_prime_err	z_prime	z_prime_err	UKIRT_WFCJ	UKIRT_WFCJ_err	ukirt.H	ukirt.H_err	ukirt.Ks	ukirt.Ks	WISE1	WISE1_err	WISE2	WISE2_err	WISE3	WISE3_err	WISE4	WISE4_err	PSW	PSW_err	PMW	PMW_err	PLW	PLW_err
2596	0.7551855	1.2730000000000001	0.9483	nan	nan	nan	nan	nan	nan	3700.8999999999996	269.8	9588.1	438.2	22962.0	661.3	37583.0	2232.0	58146.0	7049.0	97958.0	11770.0	142690.0	16510.0	188460.0	8858.0	195360.0	13670.0	798780.0	190100.0	nan	nan	48188000.0	10040000.0	23496000.0	10190000.0	nan	nan
2598	0.3608	6.437	26.9	7474.599999999999	867.6	7535.0	822.6999999999999	13021.0	903.6999999999999	15412.0	343.7	27419.0	504.49999999999994	34805.0	678.6999999999999	63710.0	2529.0	63395.0	7461.0	85468.0	12480.0	116390.0	15880.0	70214.0	6811.0	87827.0	14050.0	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2600	0.8094	5.076	15.87	12125.0	1242.0	37071.0	1436.0	27475.0	1041.0	38234.0	455.0	41412.0	525.9000000000001	37375.0	612.9	46501.0	2032.0	55947.0	4136.0	38877.0	6349.0	68263.0	8855.0	104910.0	7029.0	111380.0	13700.0	554170.0	187100.0	nan	nan	nan	nan	nan	nan	nan	nan
2606	0.7524334	22.009999999999998	81.19	211610.0	3901.0	388050.0	3186.0	221180.0	2698.0	289530.0	1158.0	273960.0	1205.0	264140.0	1400.0	314150.0	3958.0	307330.0	4878.0	336360.0	7303.0	462300.0	9306.0	928170.0	25060.0	1352800.0	35170.0	3019800.0	145500.0	7630900.0	978900.0	nan	nan	nan	nan	nan	nan
2615	0.5600532	2.9090000000000003	0.7919	6451.0	960.0999999999999	13415.0	1092.0	15931.0	893.7	18432.0	348.4	31533.0	501.4	49859.0	727.9	54084.0	2261.0	80207.0	7486.0	114430.0	12370.0	167570.0	15930.0	173310.0	8666.0	183500.0	15230.0	567170.0	175500.0	nan	nan	40756000.0	10420000.0	nan	nan	nan	nan
2621	0.2005138	4.571000000000001	0.2739	7892.1	906.2	12749.0	935.6	29675.0	1540.0	101650.0	803.1	237810.0	1260.0	364200.0	1785.0	474060.0	5641.0	589450.0	7809.0	791320.0	12780.0	763840.0	16120.000000000002	567060.0	16440.0	521950.00000000006	20880.0	1038500.0	195200.0	nan	nan	37687000.0	10500000.0	nan	nan	nan	nan
2622	0.7563627	nan	4.593	nan	nan	nan	nan	14892.0	793.8	23054.0	361.9	26862.0	429.8	30964.0	591.4000000000001	36240.0	1700.0	47807.0	4613.0	65467.0	7354.0	85991.0	8883.0	196620.0	8258.0	277480.0	15260.0	487360.0	155700.0	nan	nan	nan	nan	nan	nan	nan	nan
2627	0.5936148	2.005	6.698	nan	nan	13965.0	859.4000000000001	13148.0	784.9000000000001	16399.0	326.29999999999995	18583.0	403.3	22030.0	502.29999999999995	32625.0	1693.0	65404.0	4112.0	74827.0	6667.0	118250.0	8930.0	216190.0	9080.0	222240.0	14000.0	358450.0	173800.0	nan	nan	nan	nan	nan	nan	nan	nan
2635	0.348654	1.5790000000000002	5.876	nan	nan	nan	nan	4393.6	553.6	17501.0	318.5	51757.0	553.8	73277.0	747.4	108430.0	2342.0	152780.0	7588.0	181180.0	12540.0	276150.0	15950.0	214600.0	9228.0	255870.0	14580.0	nan	nan	3812600.0	1331000.0	nan	nan	nan	nan	nan	nan
2637	0.5936148	0.8841	2.307	nan	nan	nan	nan	4131.8	505.70000000000005	11981.0	275.6	31271.0	456.6	40794.0	550.6999999999999	45626.0	1629.0	61894.0	4104.0	90203.0	6676.0	108610.0	8918.0	230580.0	9454.0	413830.0	18210.0	1284800.0	147900.0	3837400.0	976900.0	nan	nan	nan	nan	nan	nan
