id	best.stellar.m_star	bayes.stellar.m_star	bayes.stellar.m_star_err	best.reduced_chi_square	best.sfh.age_main	best.sfh.tau_main	bayes.agn.luminosity	bayes.agn.fracAGN	bayes.agn.luminosity_err	bayes.agn.fracAGN_err	redshift
4645	5.837256000498322e+16	5.846306489325338e+16	2923153244662669.0	20.297852036767733	1000.0	200.0	2.562207395749961e+43	0.09999999999999998	1.2811036978749806e+42	2.775655847874286e-17	0.6485031
3241	5.839522911725762e+16	6.173468992741027e+16	1.7835595921315418e+16	16.09348274885277	2000.0	500.0	1.3658681881668886e+43	0.10000084773411828	2.4654590033699878e+42	0.0004117597661323495	0.3729931
5068	5.92307977591664e+16	5.897786002708162e+16	2948893001354081.0	8.633177458352344	1000.0	200.0	1.3363859259947122e+43	0.09999999999999998	1.5495335144651573e+42	4.3984607908707976e-17	0.5778878
3259	5.924162621180876e+16	5.799002317937774e+16	2899501158968887.5	9.202982359179058	1000.0	200.0	1.3122924670455673e+43	0.10000000000000006	7.473669322015322e+41	3.4624341748393203e-15	0.4506
4051	5.9757979950961736e+16	6.052303857275464e+16	3026151928637732.0	7.748112655114632	1000.0	200.0	1.3827629621795006e+43	0.09999999999999992	1.5844426390641745e+42	5.698958501617233e-15	0.512
5043	6.076986432889714e+16	6.084051218714141e+16	3042025609357070.5	19.788302531098154	1000.0	200.0	2.4375260448216725e+43	0.09999999999999998	1.2187630224108364e+42	1.962631141831711e-17	0.6778896
4087	6.1282985272525544e+16	6.342467388749829e+16	1.10039972195298e+16	8.290049217572234	5000.0	5000.0	2.256131303140376e+43	0.09999999999999996	1.144653575696262e+42	3.223421327777964e-17	0.393153
4831	6.14053534785483e+16	6.161244782557259e+16	3080622391278630.0	31.041207301319396	1000.0	200.0	2.3993238090682253e+43	0.09999999999999998	1.1996619045341128e+42	2.4642518246497116e-17	0.7658376
3211	6.163672278427561e+16	6.213681559389435e+16	4521442221027473.0	32.36726230406062	1000.0	200.0	2.4119322927637214e+43	0.09999999999999998	1.2059661463818608e+42	4.713037296297057e-17	0.5770814
2621	6.164676937612169e+16	6.050846626319831e+16	3025423313159916.0	7.629582443013949	2000.0	200.0	7.626807969264243e+42	0.10000000000000002	5.05745526352898e+41	1.3499338249400657e-10	0.2005138
